"user_id","first_name","last_name","date_start","date_end","ctc","net_pay","gross_pay","data_salary_basic_rate","data_salary_basic_type","currency","status","created_at"
"83894","","",2022-01-01,2022-01-31,3392963.0,3392963.0,3392963.0,65000,daily,IDR,approved,2022-02-04 06:45:21.000
"83888","","",2022-01-01,2022-01-31,1707719.0,1707719.0,1707719.0,65000,daily,IDR,approved,2022-02-04 06:46:36.000
"74027","","",2022-01-01,2022-01-31,3544919.0,3544919.0,3544919.0,3500000,monthly,IDR,approved,2022-02-04 06:48:49.000
"74138","","",2022-01-01,2022-01-31,978524.0,978524.0,978524.0,1000000,monthly,IDR,approved,2022-02-04 06:50:13.000
"74025","","",2022-01-01,2022-01-31,1990064.0,1990064.0,1990064.0,2000000,monthly,IDR,approved,2022-02-04 06:51:35.000
"75952","","",2022-01-01,2022-01-31,1634049.5,1634049.5,1634049.5,9000,hourly,IDR,approved,2022-02-04 06:53:12.000
"75218","","",2022-01-01,2022-01-31,245301.66666666666,245301.67,245301.66666666666,15000,hourly,IDR,approved,2022-02-04 07:21:32.000
"83902","","",2022-01-01,2022-01-31,2680068.0,2680068.0,2680068.0,2500000,monthly,IDR,approved,2022-02-04 07:22:36.000
"84509","","",2022-01-01,2022-01-31,266847.5,266847.5,266847.5,9000,hourly,IDR,approved,2022-02-04 07:24:18.000
"84699","","",2022-01-01,2022-01-31,59850.0,59850.0,59850.0,9000,hourly,IDR,approved,2022-02-04 07:24:57.000
"75983","","",2022-01-01,2022-01-31,234000.0,234000.0,234000.0,120000,daily,IDR,approved,2022-02-04 07:27:58.000
"75963","","",2022-01-01,2022-01-31,702000.0,702000.0,702000.0,120000,daily,IDR,approved,2022-02-04 07:37:16.000
"84517","","",2022-01-01,2022-01-31,585000.0,585000.0,585000.0,120000,daily,IDR,approved,2022-02-04 07:42:33.000
"84490","","",2022-01-01,2022-01-31,1677000.0,1677000.0,1677000.0,120000,daily,IDR,approved,2022-02-04 07:43:19.000
"84932","","",2022-01-01,2022-01-31,906750.0,906750.0,906750.0,120000,daily,IDR,approved,2022-02-04 07:44:19.000
"85877","","",2022-01-01,2022-01-31,1092000.0,1092000.0,1092000.0,120000,daily,IDR,approved,2022-02-04 07:48:14.000
"90377","","",2022-01-01,2022-01-31,750000.0,750000.0,750000.0,750000,monthly,IDR,approved,2022-02-04 08:07:34.000
"74556","","",2022-01-01,2022-01-31,2211289.0,2211289.0,2211289.0,1800000,monthly,IDR,approved,2022-02-04 08:09:43.000
"74052","","",2022-02-01,2022-02-28,565912.0,565912.0,565912.0,1800000,monthly,IDR,approved,2022-02-26 08:05:54.000
"75218","","",2022-02-01,2022-02-28,375521.0,375521.0,375521.0,15000,hourly,IDR,approved,2022-02-26 09:02:37.000
"84509","","",2022-02-01,2022-02-28,178432.5,178432.5,178432.5,9000,hourly,IDR,approved,2022-02-26 09:06:11.000
"74053","","",2022-02-01,2022-02-28,4004273.0,4004273.0,4004273.0,3500000,monthly,IDR,approved,2022-03-01 04:37:08.000
"74044","","",2022-02-01,2022-02-28,4513462.0,4513462.0,4513462.0,3500000,monthly,IDR,approved,2022-03-01 05:16:16.000
"84541","","",2022-02-01,2022-02-28,4291525.0,4291525.0,4291525.0,3500000,monthly,IDR,approved,2022-03-01 05:22:23.000
"87864","","",2022-02-01,2022-02-28,2913159.0,2913159.0,2913159.0,3500000,monthly,IDR,approved,2022-03-01 05:25:27.000
"74050","","",2022-02-01,2022-02-28,3432277.0,3432277.0,3432277.0,1800000,monthly,IDR,approved,2022-03-01 05:27:01.000
"74049","","",2022-02-01,2022-02-28,3746791.0,3746791.0,3746791.0,1800000,monthly,IDR,approved,2022-03-01 05:33:30.000
"74461","","",2022-02-01,2022-02-28,4271129.0,4271129.0,4271129.0,3000000,monthly,IDR,approved,2022-03-01 05:36:00.000
"74042","","",2022-02-01,2022-02-28,3284467.0,3284467.0,3284467.0,2750000,monthly,IDR,approved,2022-03-01 05:37:41.000
"74556","","",2022-02-01,2022-02-28,2130710.0,2130710.0,2130710.0,1800000,monthly,IDR,approved,2022-03-01 05:41:08.000
"83884","","",2022-02-01,2022-02-28,3638689.0,3638689.0,3638689.0,3000000,monthly,IDR,approved,2022-03-01 05:42:17.000
