"user_id","first_name","last_name","type","leave_type","dates","time_start","time_end","timezone","status","created_at"
"74049",,,leave,compensatory,2022-09-13,,,,accepted,2022-09-07 07:18:00.000
"88357",,,leave,unpaid,2022-09-08,,,,accepted,2022-09-07 14:34:00.000
"88357",,,leave,unpaid,2022-09-09,,,,accepted,2022-09-07 14:34:00.000
"88357",,,leave,unpaid,2022-09-10,,,,accepted,2022-09-07 14:34:00.000
"79765",,,leave,annual,2022-09-20,,,,accepted,2022-09-17 09:05:00.000
"79738",,,leave,compensatory,2022-09-28,,,,accepted,2022-09-23 05:49:00.000
"74042",,,leave,compensatory,2022-09-28,,,,accepted,2022-09-26 06:43:00.000
"74042",,,leave,compensatory,2022-10-11,,,,accepted,2022-10-03 08:10:00.000
"74042",,,leave,compensatory,2022-10-12,,,,accepted,2022-10-03 08:10:00.000
"88348",,,leave,annual,2022-10-10,,,,accepted,2022-10-04 06:59:00.000
"74052",,,leave,compensatory,2022-10-09,,,,accepted,2022-10-06 07:04:00.000
"74049",,,leave,compensatory,2022-10-14,,,,accepted,2022-10-08 00:35:00.000
"83884",,,leave,compensatory,2022-10-22,,,,accepted,2022-10-13 09:23:00.000
"83884",,,leave,compensatory,2022-10-23,,,,accepted,2022-10-13 09:23:00.000
"74049",,,leave,compensatory,2022-10-21,,,,pending,2022-10-17 04:17:00.000
not specified,,,leave,day_off,2021-10-27,,,,accepted,2021-10-25 12:38:00.000
not specified,,,leave,day_off,2021-11-12,,,,accepted,2021-11-07 15:20:00.000
