"type","dates","time_start","time_end","timezone","time_planned","break_time","leave_type","user_id"
work,2023-01-22,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125744"
work,2022-08-17,15:30:00,21:30:00,+08:00,21600,0,not specified,"75963"
work,2021-10-28,09:00:00,18:00:00,+08:00,28800,3600,not specified,"146166"
work,2023-08-09,09:00:00,18:00:00,+08:00,28800,3600,not specified,"160306"
work,2022-09-29,08:00:00,15:00:00,+07:00,21600,3600,not specified,"83888"
work,2022-04-04,09:00:00,18:00:00,+08:00,28800,3600,not specified,"129675"
free,2022-01-09,07:00:00,06:59:00,+08:00,7200,0,not specified,"84509"
work,2022-11-26,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125721"
work,2023-06-08,09:00:00,18:00:00,+08:00,28800,3600,not specified,"160306"
free,2022-07-11,09:00:00,08:59:00,+08:00,7200,0,not specified,"74053"
free,2022-07-14,07:00:00,06:59:00,+08:00,7200,0,not specified,"84699"
work,2023-10-18,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125748"
work,2022-01-18,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125748"
work,2022-02-08,08:00:00,15:00:00,+08:00,25200,0,not specified,"74054"
work,2022-05-17,08:00:00,15:00:00,+08:00,25200,0,not specified,"92930"
work,2021-11-03,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125748"
work,2023-08-08,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159207"
work,2022-12-10,08:00:00,13:00:00,+08:00,18000,0,not specified,"155509"
work,2022-02-26,15:30:00,21:30:00,+08:00,21600,0,not specified,"74044"
work,2022-03-04,08:00:00,15:00:00,+08:00,21600,3600,not specified,"74050"
work,2023-09-17,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157837"
work,2022-07-21,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157837"
work,2022-06-08,09:00:00,18:00:00,+08:00,28800,3600,not specified,"160306"
work,2022-08-19,08:00:00,17:00:00,+08:00,32400,0,not specified,"90377"
free,2022-10-03,09:00:00,08:59:00,+08:00,7200,0,not specified,"75218"
work,2022-07-28,15:00:00,22:00:00,+08:00,25200,0,not specified,"74556"
work,2022-01-19,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157916"
work,2022-04-28,09:00:00,18:00:00,+08:00,28800,3600,not specified,"138225"
work,2021-11-25,09:00:00,17:00:00,+08:00,28800,0,not specified,"75952"
work,2022-02-13,08:00:00,15:00:00,+08:00,25200,0,not specified,"74465"
free,2022-09-03,07:00:00,06:59:00,+08:00,21600,0,not specified,"83902"
work,2023-07-31,09:00:00,18:00:00,+08:00,28800,3600,not specified,"126082"
work,2022-09-27,15:00:00,22:00:00,+08:00,25200,0,not specified,"83885"
work,2022-03-08,08:00:00,15:00:00,+08:00,25140,60,not specified,"91338"
work,2022-08-20,08:00:00,15:00:00,+08:00,25200,0,not specified,"120696"
